iter	RMSE
0	2.682921148
1	2.64083271
2	2.61097505
3	2.575922503
4	2.540135876
5	2.505290239
6	2.474477263
7	2.438288814
8	2.406811512
9	2.37547148
10	2.347316155
11	2.317047065
12	2.290302468
13	2.26072105
14	2.228368575
15	2.200971976
16	2.179066299
17	2.149919768
18	2.121213591
19	2.09698262
20	2.066005263
21	2.036165519
22	2.009341813
23	1.981172274
24	1.957987542
25	1.933873386
26	1.907189978
27	1.887257129
28	1.863676826
29	1.844660763
30	1.823984467
31	1.803122793
32	1.783646977
33	1.762146558
34	1.74453429
35	1.726472374
36	1.70888397
37	1.694389765
38	1.678984139
39	1.662786274
40	1.646541015
41	1.63024974
42	1.606573935
43	1.591047472
44	1.577429004
45	1.561204771
46	1.549685869
47	1.533030899
48	1.519130599
49	1.503730462
50	1.486620777
51	1.470363266
52	1.458709861
53	1.445292824
54	1.430333151
55	1.416870925
56	1.40545127
57	1.391220832
58	1.379806685
59	1.369113271
60	1.360447395
61	1.349701737
62	1.338910084
63	1.32649169
64	1.316306571
65	1.305654564
66	1.29774123
67	1.290299238
68	1.282134219
69	1.27234569
70	1.266580021
71	1.255352429
72	1.246886752
73	1.236559941
74	1.229788037
75	1.221223926
76	1.21311672
77	1.207175614
78	1.20124167
79	1.190838741
80	1.184780496
81	1.175979145
82	1.166549336
83	1.158724504
84	1.151316412
85	1.145646664
86	1.137929454
87	1.128600822
88	1.121777104
89	1.115625459
90	1.105969027
91	1.100048806
92	1.094946527
93	1.085743359
94	1.076749309
95	1.07204325
96	1.064634571
97	1.058078417
98	1.053026938
99	1.046316699
100	1.041328202
101	1.035775308
102	1.030627957
103	1.024062582
104	1.018428884
105	1.013237134
106	1.008101003
107	1.003325334
108	0.9966648322
109	0.992212621
110	0.9864400418
111	0.9806213226
112	0.9751414478
113	0.970615883
114	0.9676663675
115	0.9621624624
116	0.9564743771
117	0.9505020669
118	0.9467883843
119	0.9414001986
120	0.9373259946
121	0.9332793206
122	0.9297844904
123	0.925402655
124	0.922254114
125	0.9181180057
126	0.9130532072
127	0.9093641746
128	0.9051121231
129	0.9004976593
130	0.8958401645
131	0.890266144
132	0.8838990124
133	0.8811289587
134	0.8787493701
135	0.8737259476
136	0.8710602742
137	0.8660278586
138	0.8633013535
139	0.8592590929
140	0.8564850892
141	0.8513169792
142	0.8463474517
143	0.844112701
144	0.8394284755
145	0.8370772715
146	0.8350440428
147	0.8328518869
148	0.8280323649
149	0.8244633038
150	0.8207324103
151	0.8182993166
152	0.8144602891
153	0.810278987
154	0.8056488407
155	0.8017723335
156	0.7985565528
157	0.7952590749
158	0.7909151325
159	0.7874957898
160	0.7841320355
161	0.7809253424
162	0.7772321003
163	0.7736560779
164	0.7720563898
165	0.769528047
166	0.7665291548
167	0.7626786802
168	0.7583215335
169	0.7533987891
170	0.7497845028
171	0.7466780732
172	0.7448190001
173	0.7417757585
174	0.7382955784
175	0.7370445902
176	0.733118446
177	0.7295595274
178	0.7261271048
179	0.7227822134
180	0.7190767484
181	0.7162090289
182	0.7122573235
183	0.7094888152
184	0.7083096347
185	0.7045245543
186	0.7025074775
187	0.69910837
188	0.6966248922
189	0.6937603753
190	0.6897684255
191	0.6872608879
192	0.6845116242
193	0.6810657558
194	0.6779232959
195	0.6755274834
196	0.6741352216
197	0.6707478961
198	0.667530824
199	0.6651725707
200	0.6631169352
201	0.6606731146
202	0.6585618373
203	0.6565561193
204	0.6540953197
205	0.6517755845
206	0.649068683
207	0.6457474738
208	0.6429715591
209	0.640296258
210	0.6376187012
211	0.6350963038
212	0.6329245755
213	0.6307675179
214	0.6281134806
215	0.6260610567
216	0.6245800651
217	0.6222038063
218	0.6202967354
219	0.6171436541
220	0.6156309464
221	0.6126525715
222	0.6102346093
223	0.6083098767
224	0.6056347728
225	0.6033449951
226	0.6011904534
227	0.5986012231
228	0.5962286445
229	0.5937891155
230	0.5923577164
231	0.5895168758
232	0.5876399881
233	0.585532016
234	0.5834363547
235	0.5814953326
236	0.5793969574
237	0.5786245407
238	0.5765484637
239	0.5739760983
240	0.57185937
241	0.5699838368
242	0.5688805718
243	0.5670675653
244	0.5650233517
245	0.5637872043
246	0.5617056226
247	0.5601937785
248	0.5582109464
249	0.5562905142
250	0.5540440116
251	0.5519402006
252	0.5510163795
253	0.5490060827
254	0.5478753636
255	0.5461771412
256	0.5447427861
257	0.5425574375
258	0.5408670222
259	0.5390776564
260	0.5373383488
261	0.5353471156
262	0.5333224601
263	0.5320492998
264	0.5308710059
265	0.530109179
266	0.527152748
267	0.5261209607
268	0.5243920918
269	0.5232056471
270	0.522042001
271	0.520766242
272	0.5197575381
273	0.5180878368
274	0.5166343028
275	0.5153393437
276	0.5137802221
