City,Date,Sunup,Sundown
toronto,01-01-10,7.0:51,16.0:51
toronto,01-02-10,7.0:51,16.0:52
toronto,01-03-10,7.0:51,16.0:53
toronto,01-04-10,7.0:51,16.0:54
toronto,01-05-10,7.0:51,16.0:55
toronto,01-06-10,7.0000000,16.0:56
toronto,01-07-10,7.0000000,16.0:57
toronto,01-08-10,7.0000000,16.0:58
toronto,01-09-10,7.0000000,16.0:59
toronto,01-10-10,7.0:49,17.0000000
toronto,01-11-10,7.0:49,17.000001
toronto,01-12-10,7.0:49,17.000002
toronto,01-13-10,7.0:48,17.000003
toronto,01-14-10,7.0:48,17.000005
toronto,01-15-10,7.0:47,17.000006
toronto,01-16-10,7.0:47,17.000007
toronto,01-17-10,7.0:46,17.000008
toronto,01-18-10,7.0:46,17.0000000
toronto,01-19-10,7.0:45,17.0:11
toronto,01-20-10,7.0:44,17.0:12
toronto,01-21-10,7.0:44,17.0:13
toronto,01-22-10,7.0:43,17.0:15
toronto,01-23-10,7.0:42,17.0:16
toronto,01-24-10,7.0:41,17.0:17
toronto,01-25-10,7.0000000,17.0:19
toronto,01-26-10,7.0000000,17.0000000
toronto,01-27-10,7.0:39,17.0:21
toronto,01-28-10,7.0:38,17.0:23
toronto,01-29-10,7.0:37,17.0:24
toronto,01-30-10,7.0:36,17.0:25
toronto,01-31-10,7.0:35,17.0:27
toronto,02-01-10,7.0:34,17.0:28
toronto,02-02-10,7.0:32,17.0000000
toronto,02-03-10,7.0:31,17.0:31
toronto,02-04-10,7.0000000,17.0:32
toronto,02-05-10,7.0:29,17.0:34
toronto,02-06-10,7.0:28,17.0:35
toronto,02-07-10,7.0:26,17.0:36
toronto,02-08-10,7.0:25,17.0:38
toronto,02-09-10,7.0:24,17.0:39
toronto,02-10-10,7.0:23,17.0000000
toronto,02-11-10,7.0:21,17.0:42
toronto,02-12-10,7.0000000,17.0:43
toronto,02-13-10,7.0:18,17.0:45
toronto,02-14-10,7.0:17,17.0:46
toronto,02-15-10,7.0:16,17.0:47
toronto,02-16-10,7.0:14,17.0:49
toronto,02-17-10,7.0:13,17.0000000
toronto,02-18-10,7.0:11,17.0:51
toronto,02-19-10,7.0000000,17.0:53
toronto,02-20-10,7.000008,17.0:54
toronto,02-21-10,7.000007,17.0:55
toronto,02-22-10,7.000005,17.0:57
toronto,02-23-10,7.000003,17.0:58
toronto,02-24-10,7.000002,17.0:59
toronto,02-25-10,7.0000000,18.000001
toronto,02-26-10,6.0:59,18.000002
toronto,02-27-10,6.0:57,18.000003
toronto,02-28-10,6.0:55,18.000004
toronto,03-01-10,6.0:54,18.000006
toronto,03-02-10,6.0:52,18.000007
toronto,03-03-10,6.0000000,18.000008
toronto,03-04-10,6.0:49,18.0000000
toronto,03-05-10,6.0:47,18.0:11
toronto,03-06-10,6.0:45,18.0:12
toronto,03-07-10,6.0:43,18.0:13
toronto,03-08-10,6.0:42,18.0:15
toronto,03-09-10,6.0000000,18.0:16
toronto,03-10-10,6.0:38,18.0:17
toronto,03-11-10,6.0:36,18.0:18
toronto,03-12-10,6.0:35,18.0000000
toronto,03-13-10,6.0:33,18.0:21
toronto,03-14-10,7.0:31,19.0:22
toronto,03-15-10,7.0:29,19.0:23
toronto,03-16-10,7.0:28,19.0:24
toronto,03-17-10,7.0:26,19.0:26
toronto,03-18-10,7.0:24,19.0:27
toronto,03-19-10,7.0:22,19.0:28
toronto,03-20-10,7.0000000,19.0:29
toronto,03-21-10,7.0:19,19.0:31
toronto,03-22-10,7.0:17,19.0:32
toronto,03-23-10,7.0:15,19.0:33
toronto,03-24-10,7.0:13,19.0:34
toronto,03-25-10,7.0:11,19.0:35
toronto,03-26-10,7.0000000,19.0:37
toronto,03-27-10,7.000008,19.0:38
toronto,03-28-10,7.000006,19.0:39
toronto,03-29-10,7.000004,19.0000000
toronto,03-30-10,7.000002,19.0:41
toronto,03-31-10,7.000001,19.0:43
toronto,04-01-10,6.0:59,19.0:44
toronto,04-02-10,6.0:57,19.0:45
toronto,04-03-10,6.0:55,19.0:46
toronto,04-04-10,6.0:53,19.0:47
toronto,04-05-10,6.0:52,19.0:49
toronto,04-06-10,6.0000000,19.0000000
